Species	Tissue	Cell type	Cell marker	Marker grade
Arabidopsis thaliana	Root	Atrichoblast	AT3G58120	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G58850	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G59850	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G60550	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G61198	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G61410	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G62270	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G62280	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G62830	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT3G63470	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT4G00080	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT4G00430	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT4G01410	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT4G01480	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT4G01630	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT4G01750	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT4G01870	Marker #2
